geonameid,name,asciiname,latitude,longitude,country code,admin1 code,population,point size,font size,font file
5128581,New York,New York City,40.71427,-74.00597,US,NY,8008278,8,15,fonts/Arial.ttf
5368361,Los Angeles,Los Angeles,34.05223,-118.24368,US,CA,3694820,8,15,fonts/Arial.ttf
4887398,Chicago,Chicago,41.85003,-87.65005,US,IL,2841952,8,15,fonts/Arial.ttf
4699066,Houston,Houston,29.76328,-95.36327,US,TX,2027712,8,10,fonts/Arial.ttf
4560349,Philadelphia,Philadelphia,39.95234,-75.16379,US,PA,1517550,8,10,fonts/Arial.ttf
5308655,Phoenix,Phoenix,33.44838,-112.07404,US,AZ,1321045,8,10,fonts/Arial.ttf
4726206,San Antonio,San Antonio,29.42412,-98.49363,US,TX,1256810,8,10,fonts/Arial.ttf
5391811,San Diego,San Diego,32.71533,-117.15726,US,CA,1223400,8,10,fonts/Arial.ttf
4684888,Dallas,Dallas,32.78306,-96.80667,US,TX,1211704,8,10,fonts/Arial.ttf
4990729,Detroit,Detroit,42.33143,-83.04575,US,MI,951270,8,10,fonts/Arial.ttf
5392171,San Jose,San Jose,37.33939,-121.89496,US,CA,894943,8,10,fonts/Arial.ttf
4259418,Indianapolis,Indianapolis,39.76838,-86.15804,US,IN,773283,8,10,fonts/Arial.ttf
4509177,Columbus,Columbus,39.96118,-82.99879,US,OH,736836,8,10,fonts/Arial.ttf
5391959,San Francisco,San Francisco,37.76746,-122.44151,US,CA,732072,8,10,fonts/Arial.ttf
4641239,Memphis,Memphis,35.14953,-90.04898,US,TN,650100,8,10,fonts/Arial.ttf
4347778,Baltimore,Baltimore,39.29038,-76.61219,US,MD,610892,8,10,fonts/Arial.ttf
4460243,Charlotte,Charlotte,35.22709,-80.84313,US,NC,598351,8,10,fonts/Arial.ttf
4930956,Boston,Boston,42.35843,-71.05977,US,MA,589141,8,10,fonts/Arial.ttf
5263045,Milwaukee,Milwaukee,43.0389,-87.90647,US,WI,579180,8,10,fonts/Arial.ttf
5809844,Seattle,Seattle,47.60621,-122.33207,US,WA,569369,8,10,fonts/Arial.ttf
5419384,Denver,Denver,39.73915,-104.9847,US,CO,554636,8,10,fonts/Arial.ttf
4140963,Washington,Washington,38.89511,-77.03637,US,DC,552433,8,10,fonts/Arial.ttf
5746545,Portland,Portland,45.52345,-122.67621,US,OR,540513,8,10,fonts/Arial.ttf
4644585,Nashville,Nashville,36.16589,-86.78444,US,TN,530852,8,10,fonts/Arial.ttf
5454711,Albuquerque,Albuquerque,35.08449,-106.65114,US,NM,487378,8,10,fonts/Arial.ttf
4335045,New Orleans,New Orleans,29.95465,-90.07507,US,LA,484674,8,10,fonts/Arial.ttf
5506956,Las Vegas,Las Vegas,36.17497,-115.13722,US,NV,478434,8,10,fonts/Arial.ttf
5150529,Cleveland,Cleveland,41.4995,-81.69541,US,OH,449514,8,10,fonts/Arial.ttf
4393217,Kansas City,Kansas City,39.09973,-94.57857,US,MO,441545,8,10,fonts/Arial.ttf
4180439,Atlanta,Atlanta,33.749,-84.38798,US,GA,422908,8,10,fonts/Arial.ttf
4164138,Miami,Miami,25.77427,-80.19366,US,FL,382894,8,10,fonts/Arial.ttf
5856195,Honolulu,Honolulu,21.30694,-157.85833,US,HI,371657,8,10,fonts/Arial.ttf
5037649,Minneapolis,Minneapolis,44.97997,-93.26384,US,MN,367773,8,10,fonts/Arial.ttf
4174757,Tampa,Tampa,27.94752,-82.45843,US,FL,324465,8,10,fonts/Arial.ttf
4407066,St. Louis,Saint Louis,38.62727,-90.19789,US,MO,320916,8,10,fonts/Arial.ttf
5206379,Pittsburgh,Pittsburgh,40.44062,-79.99589,US,PA,319494,8,10,fonts/Arial.ttf
4508722,Cincinnati,Cincinnati,39.162,-84.45689,US,OH,306382,8,10,fonts/Arial.ttf
5780993,Salt Lake City,Salt Lake City,40.76078,-111.89105,US,UT,178026,8,10,fonts/Arial.ttf